isolate_id	study_accession	sample_accession	experiment_accession	id	submission_accession	run_alias	fastq_ftp	sra_ftp	AMP	AMP_clsi	AMP_ecoff	AMP_eucast	CHL	CHL_clsi	CHL_ecoff	CHL_eucast	CIP	CIP_clsi	CIP_ecoff	CIP_eucast	CPM	CPM_clsi	CPM_ecoff	CPM_eucast	CST	CST_clsi	CST_ecoff	CST_eucast	CTX	CTX_clsi	CTX_ecoff	CTX_eucast	CTZ	CTZ_clsi	CTZ_ecoff	CTZ_eucast	ETP	ETP_clsi	ETP_ecoff	ETP_eucast	FOX	FOX_clsi	FOX_ecoff	FOX_eucast	GEN	GEN_clsi	GEN_ecoff	GEN_eucast	IMP	IMP_clsi	IMP_ecoff	IMP_eucast	MER	MER_clsi	MER_ecoff	MER_eucast	NAL	NAL_clsi	NAL_ecoff	NAL_eucast	SMZ	SMZ_clsi	SMZ_ecoff	SMZ_eucast	TET	TET_clsi	TET_ecoff	TET_eucast	TMP	TMP_clsi	TMP_ecoff	TMP_eucast
DTU2017-823-PRJ1111-Escherischia-coli-360-16032964_S4_L001_R1_001	PRJEB22091	SAMEA104205913	ERX2148115	ERR2091321	ERA984054	Run_2017_8_8_12_24_2_run18	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091321/ERR2091321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091321/ERR2091321_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/001/ERR2091321	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.25	S	R	S	1.0		S	S	8.0	R	R	R	8.0	I	R	R	0.06	S	S	S	64.0	R	R		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-824-PRJ1111-Escherischia-coli-360-16033322_S5_L001_R1_001	PRJEB22091	SAMEA104205914	ERX2148116	ERR2091322	ERA984054	Run_2017_8_8_12_24_2_run19	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091322/ERR2091322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091322/ERR2091322_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/002/ERR2091322	64.0	R	R	R	8.0	S	S	S	0.03	S	S	S	0.125	S	S	S	1.0		S	S	2.0	I	R	I	4.0	S	R	I	0.03	S	S	S	64.0	R	R		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		8.0	S			2.0	S	S		0.25	S	S	S
DTU2017-825-PRJ1111-Escherischia-coli-360-16033518_S6_L001_R1_001	PRJEB22091	SAMEA104205915	ERX2148117	ERR2091323	ERA984054	Run_2017_8_8_12_24_2_run20	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091323/ERR2091323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091323/ERR2091323_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/003/ERR2091323	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	32.0	R	R	R	2.0		S	S	64.0	R	R	R	4.0	S	R	I	0.03	S	S	S	4.0	S	S		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-826-PRJ1111-Escherischia-coli-360-16033521_S7_L001_R1_001	PRJEB22091	SAMEA104205916	ERX2148118	ERR2091324	ERA984054	Run_2017_8_8_12_24_2_run21	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091324/ERR2091324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091324/ERR2091324_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/004/ERR2091324	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.25	S	R	S	1.0		S	S	8.0	R	R	R	8.0	I	R	R	0.03	S	S	S	32.0	R	R		32.0	R	R	R	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		0.25	S	S	S
DTU2017-827-PRJ1111-Escherischia-coli-360-16034011_S8_L001_R1_001	PRJEB22091	SAMEA104205917	ERX2148119	ERR2091325	ERA984054	Run_2017_8_8_12_24_2_run22	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091325/ERR2091325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091325/ERR2091325_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/005/ERR2091325	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	32.0	R	R	R	1.0		S	S	64.0	R	R	R	4.0	S	R	I	0.03	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-828-PRJ1111-Escherischia-coli-360-16034621_S9_L001_R1_001	PRJEB22091	SAMEA104205918	ERX2148120	ERR2091326	ERA984054	Run_2017_8_8_12_24_2_run23	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091326/ERR2091326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091326/ERR2091326_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/006/ERR2091326	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	16.0	R	R	R	1.0		S	S	32.0	R	R	R	2.0	S	R	I	0.015	S	S	S	8.0	S	S		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-829-PRJ1111-Escherischia-coli-360-16034623_S10_L001_R1_001	PRJEB22091	SAMEA104205919	ERX2148121	ERR2091327	ERA984054	Run_2017_8_8_12_24_2_run24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091327/ERR2091327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091327/ERR2091327_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/007/ERR2091327	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	32.0	R	R	R	1.0		S	S	64.0	R	R	R	4.0	S	R	I	0.03	S	S	S	4.0	S	S		1.0	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-830-PRJ1111-Escherischia-coli-360-16034626_S11_L001_R1_001	PRJEB22091	SAMEA104205920	ERX2148122	ERR2091328	ERA984054	Run_2017_8_8_12_24_2_run25	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091328/ERR2091328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091328/ERR2091328_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/008/ERR2091328	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.25	S	R	S	1.0		S	S	8.0	R	R	R	8.0	I	R	R	0.03	S	S	S	64.0	R	R		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-831-PRJ1111-Escherischia-coli-360-16034781_S12_L001_R1_001	PRJEB22091	SAMEA104205921	ERX2148123	ERR2091329	ERA984054	Run_2017_8_8_12_24_2_run26	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091329/ERR2091329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091329/ERR2091329_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/009/ERR2091329	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	16.0	R	R	R	1.0		S	S	32.0	R	R	R	1.0	S	R	S	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-832-PRJ1111-Escherischia-coli-360-16034782_S13_L001_R1_001	PRJEB22091	SAMEA104205922	ERX2148124	ERR2091330	ERA984054	Run_2017_8_8_12_24_2_run27	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091330/ERR2091330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091330/ERR2091330_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/000/ERR2091330	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	16.0	R	R	R	1.0		S	S	64.0	R	R	R	2.0	S	R	I	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
