isolate_id	study_accession	sample_accession	experiment_accession	id	submission_accession	run_alias	fastq_ftp	sra_ftp	AMP	AMP_clsi	AMP_ecoff	AMP_eucast	CHL	CHL_clsi	CHL_ecoff	CHL_eucast	CIP	CIP_clsi	CIP_ecoff	CIP_eucast	CPM	CPM_clsi	CPM_ecoff	CPM_eucast	CST	CST_clsi	CST_ecoff	CST_eucast	CTX	CTX_clsi	CTX_ecoff	CTX_eucast	CTZ	CTZ_clsi	CTZ_ecoff	CTZ_eucast	ETP	ETP_clsi	ETP_ecoff	ETP_eucast	FOX	FOX_clsi	FOX_ecoff	FOX_eucast	GEN	GEN_clsi	GEN_ecoff	GEN_eucast	IMP	IMP_clsi	IMP_ecoff	IMP_eucast	MER	MER_clsi	MER_ecoff	MER_eucast	NAL	NAL_clsi	NAL_ecoff	NAL_eucast	SMZ	SMZ_clsi	SMZ_ecoff	SMZ_eucast	TET	TET_clsi	TET_ecoff	TET_eucast	TMP	TMP_clsi	TMP_ecoff	TMP_eucast
DTU2017-843-PRJ1111-Escherischia-coli-360-16041182_S24_L001_R1_001	PRJEB22091	SAMEA104205933	ERX2148135	ERR2091341	ERA984054	Run_2017_8_8_12_24_2_run38	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091341/ERR2091341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091341/ERR2091341_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/001/ERR2091341	64.0	R	R	R	8.0	S	S	S	1.0	R	R	R	4.0	I	R	I	1.0		S	S	16.0	R	R	R	2.0	S	R	I	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	128.0	R	R		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-844-PRJ1111-Escherischia-coli-360-16041211_S25_L001_R1_001	PRJEB22091	SAMEA104205934	ERX2148136	ERR2091342	ERA984054	Run_2017_8_8_12_24_2_run39	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091342/ERR2091342_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091342/ERR2091342_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/002/ERR2091342	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.25	S	R	S	1.0		S	S	8.0	R	R	R	8.0	I	R	R	0.03	S	S	S	32.0	R	R		16.0	R	R	R	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-845-PRJ1111-Escherischia-coli-360-16046789_S26_L001_R1_001	PRJEB22091	SAMEA104205935	ERX2148137	ERR2091343	ERA984054	Run_2017_8_8_12_24_2_run40	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091343/ERR2091343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091343/ERR2091343_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/003/ERR2091343	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	4.0	I	R	I	1.0		S	S	32.0	R	R	R	1.0	S	R	S	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			32.0	R	R		0.25	S	S	S
DTU2017-846-PRJ1111-Escherischia-coli-360-16046790_S27_L001_R1_001	PRJEB22091	SAMEA104205936	ERX2148138	ERR2091344	ERA984054	Run_2017_8_8_12_24_2_run41	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091344/ERR2091344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091344/ERR2091344_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/004/ERR2091344	64.0	R	R	R	32.0	R	R	R	0.25	S	R	S	0.5	S	R	S	1.0		S	S	4.0	R	R	R	16.0	R	R	R	0.015	S	S	S	8.0	S	S		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	64.0	R	R		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-847-PRJ1111-Escherischia-coli-360-16047574_S28_L001_R1_001	PRJEB22091	SAMEA104205937	ERX2148139	ERR2091345	ERA984054	Run_2017_8_8_12_24_2_run42	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091345/ERR2091345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091345/ERR2091345_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/005/ERR2091345	64.0	R	R	R	32.0	R	R	R	0.25	S	R	S	0.5	S	R	S	1.0		S	S	4.0	R	R	R	16.0	R	R	R	0.015	S	S	S	8.0	S	S		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	128.0	R	R		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-848-PRJ1111-Escherischia-coli-360-16047576_S29_L001_R1_001	PRJEB22091	SAMEA104205938	ERX2148140	ERR2091346	ERA984054	Run_2017_8_8_12_24_2_run43	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091346/ERR2091346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091346/ERR2091346_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/006/ERR2091346	64.0	R	R	R	8.0	S	S	S	0.5	I	R	I	1.0	S	R	S	1.0		S	S	2.0	I	R	I	4.0	S	R	I	0.015	S	S	S	8.0	S	S		1.0	S	S	S	0.125	S	S	S	0.03	S	S	S	128.0	R	R		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-849-PRJ1111-Escherischia-coli-360-16048387_S30_L001_R1_001	PRJEB22091	SAMEA104205939	ERX2148141	ERR2091347	ERA984054	Run_2017_8_8_12_24_2_run44	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091347/ERR2091347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091347/ERR2091347_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/007/ERR2091347	64.0	R	R	R	8.0	S	S	S	0.5	I	R	I	0.125	S	S	S	1.0		S	S	8.0	R	R	R	8.0	I	R	R	0.03	S	S	S	64.0	R	R		1.0	S	S	S	0.125	S	S	S	0.03	S	S	S	128.0	R	R		8.0	S			2.0	S	S		0.25	S	S	S
DTU2017-850-PRJ1111-Escherischia-coli-360-16048392_S31_L001_R1_001	PRJEB22091	SAMEA104205940	ERX2148142	ERR2091348	ERA984054	Run_2017_8_8_12_24_2_run45	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091348/ERR2091348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091348/ERR2091348_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/008/ERR2091348	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.25	S	R	S	1.0		S	S	8.0	R	R	R	16.0	R	R	R	0.03	S	S	S	32.0	R	R		16.0	R	R	R	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-851-PRJ1111-Escherischia-coli-360-16048589_S32_L001_R1_001	PRJEB22091	SAMEA104205941	ERX2148143	ERR2091349	ERA984054	Run_2017_8_8_12_24_2_run46	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091349/ERR2091349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091349/ERR2091349_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/009/ERR2091349	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.25	S	R	S	1.0		S	S	8.0	R	R	R	8.0	I	R	R	0.03	S	S	S	32.0	R	R		16.0	R	R	R	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			32.0	R	R		0.25	S	S	S
DTU2017-852-PRJ1111-Escherischia-coli-360-16049134_S33_L001_R1_001	PRJEB22091	SAMEA104205942	ERX2148144	ERR2091350	ERA984054	Run_2017_8_8_12_24_2_run47	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091350/ERR2091350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091350/ERR2091350_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/000/ERR2091350	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	32.0	R	R	R	1.0		S	S	64.0	R	R	R	4.0	S	R	I	0.03	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-853-PRJ1111-Escherischia-coli-360-16049218_S34_L001_R1_001	PRJEB22091	SAMEA104205943	ERX2148145	ERR2091351	ERA984054	Run_2017_8_8_12_24_2_run48	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091351/ERR2091351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091351/ERR2091351_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/001/ERR2091351	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	32.0	R	R	R	1.0		S	S	64.0	R	R	R	4.0	S	R	I	0.03	S	S	S	4.0	S	S		1.0	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-854-PRJ1111-Escherischia-coli-360-16049438_S35_L001_R1_001	PRJEB22091	SAMEA104205944	ERX2148146	ERR2091352	ERA984054	Run_2017_8_8_12_24_2_run49	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091352/ERR2091352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091352/ERR2091352_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/002/ERR2091352	64.0	R	R	R	8.0	S	S	S	2.0	R	R	R	0.25	S	R	S	1.0		S	S	2.0	I	R	I	8.0	I	R	R	0.015	S	S	S	4.0	S	S		1.0	S	S	S	0.25	S	S	S	0.03	S	S	S	128.0	R	R		1024.0	R			2.0	S	S		32.0	R	R	R
DTU2017-855-PRJ1111-Escherischia-coli-360-16049447_S36_L001_R1_001	PRJEB22091	SAMEA104205945	ERX2148147	ERR2091353	ERA984054	Run_2017_8_8_12_24_2_run50	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091353/ERR2091353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091353/ERR2091353_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/003/ERR2091353	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.25	S	R	S	1.0		S	S	32.0	R	R	R	16.0	R	R	R	0.06	S	S	S	64.0	R	R		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		8.0	S			2.0	S	S		0.25	S	S	S
DTU2017-856-PRJ1111-Escherischia-coli-360-16057220_S37_L001_R1_001	PRJEB22091	SAMEA104205946	ERX2148148	ERR2091354	ERA984054	Run_2017_8_8_12_24_2_run51	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091354/ERR2091354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091354/ERR2091354_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/004/ERR2091354	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	4.0	I	R	I	1.0		S	S	16.0	R	R	R	1.0	S	R	S	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-857-PRJ1111-Escherischia-coli-360-16057230_S38_L001_R1_001	PRJEB22091	SAMEA104205947	ERX2148149	ERR2091355	ERA984054	Run_2017_8_8_12_24_2_run52	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091355/ERR2091355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091355/ERR2091355_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/005/ERR2091355	64.0	R	R	R	8.0	S	S	S	0.25	S	R	S	8.0	I	R	R	1.0		S	S	32.0	R	R	R	1.0	S	R	S	0.015	S	S	S	4.0	S	S		1.0	S	S	S	0.125	S	S	S	0.03	S	S	S	128.0	R	R		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-858-PRJ1111-Escherischia-coli-360-16057231_S39_L001_R1_001	PRJEB22091	SAMEA104205948	ERX2148150	ERR2091356	ERA984054	Run_2017_8_8_12_24_2_run53	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091356/ERR2091356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091356/ERR2091356_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/006/ERR2091356	64.0	R	R	R	64.0	R	R	R	0.015	S	S	S	0.25	S	R	S	1.0		S	S	4.0	R	R	R	16.0	R	R	R	0.03	S	S	S	64.0	R	R		32.0	R	R	R	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-859-PRJ1111-Escherischia-coli-360-16058421_S40_L001_R1_001	PRJEB22091	SAMEA104205949	ERX2148151	ERR2091357	ERA984054	Run_2017_8_8_12_24_2_run54	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091357/ERR2091357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091357/ERR2091357_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/007/ERR2091357	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.25	S	R	S	1.0		S	S	8.0	R	R	R	8.0	I	R	R	0.06	S	S	S	64.0	R	R		32.0	R	R	R	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-860-PRJ1111-Escherischia-coli-360-16058443_S41_L001_R1_001	PRJEB22091	SAMEA104205950	ERX2148152	ERR2091358	ERA984054	Run_2017_8_8_12_24_2_run55	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091358/ERR2091358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091358/ERR2091358_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/008/ERR2091358	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.25	S	R	S	1.0		S	S	8.0	R	R	R	8.0	I	R	R	0.03	S	S	S	32.0	R	R		16.0	R	R	R	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-861-PRJ1111-Escherischia-coli-360-16058507_S42_L001_R1_001	PRJEB22091	SAMEA104205951	ERX2148153	ERR2091359	ERA984054	Run_2017_8_8_12_24_2_run56	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091359/ERR2091359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091359/ERR2091359_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/009/ERR2091359	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.25	S	R	S	1.0		S	S	8.0	R	R	R	8.0	I	R	R	0.03	S	S	S	32.0	R	R		16.0	R	R	R	0.25	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		0.25	S	S	S
DTU2017-862-PRJ1111-Escherischia-coli-360-16063593_S43_L001_R1_001	PRJEB22091	SAMEA104205952	ERX2148154	ERR2091360	ERA984054	Run_2017_8_8_12_24_2_run57	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091360/ERR2091360_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091360/ERR2091360_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/000/ERR2091360	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.125	S	S	S	1.0		S	S	2.0	I	R	I	4.0	S	R	I	0.015	S	S	S	32.0	R	R		0.5	S	S	S	0.25	S	S	S	0.03	S	S	S	4.0	S	S		8.0	S			2.0	S	S		0.25	S	S	S
DTU2017-863-PRJ1111-Escherischia-coli-360-16063994_S44_L001_R1_001	PRJEB22091	SAMEA104205953	ERX2148155	ERR2091361	ERA984054	Run_2017_8_8_12_24_2_run58	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091361/ERR2091361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091361/ERR2091361_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/001/ERR2091361	64.0	R	R	R	8.0	S	S	S	0.25	S	R	S	0.25	S	R	S	1.0		S	S	4.0	R	R	R	4.0	S	R	I	0.015	S	S	S	32.0	R	R		32.0	R	R	R	0.25	S	S	S	0.03	S	S	S	128.0	R	R		1024.0	R			2.0	S	S		0.25	S	S	S
DTU2017-864-PRJ1111-Escherischia-coli-360-16064004_S45_L001_R1_001	PRJEB22091	SAMEA104205954	ERX2148156	ERR2091362	ERA984054	Run_2017_8_8_12_24_2_run59	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091362/ERR2091362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091362/ERR2091362_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/002/ERR2091362	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.5	S	R	S	1.0		S	S	4.0	R	R	R	4.0	S	R	I	0.015	S	S	S	4.0	S	S		0.5	S	S	S	0.125	S	S	S	0.03	S	S	S	4.0	S	S		8.0	S			64.0	R	R		0.25	S	S	S
DTU2017-865-PRJ1111-Escherischia-coli-360-16040464_S46_L001_R1_001	PRJEB22091	SAMEA104205955	ERX2148157	ERR2091363	ERA984054	Run_2017_8_8_12_24_2_run60	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091363/ERR2091363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091363/ERR2091363_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/003/ERR2091363	64.0	R	R	R	8.0	S	S	S	0.125	S	R	S	0.125	S	S	S	1.0		S	S	1.0	S	R	S	4.0	S	R	I	0.03	S	S	S	32.0	R	R		1.0	S	S	S	0.125	S	S	S	0.03	S	S	S	64.0	R	R		8.0	S			64.0	R	R		0.25	S	S	S
DTU2017-866-PRJ1111-Escherischia-coli-360-16040465_S47_L001_R1_001	PRJEB22091	SAMEA104205956	ERX2148158	ERR2091364	ERA984054	Run_2017_8_8_12_24_2_run61	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091364/ERR2091364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091364/ERR2091364_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/004/ERR2091364	64.0	R	R	R	8.0	S	S	S	0.015	S	S	S	0.5	S	R	S	1.0		S	S	16.0	R	R	R	8.0	I	R	R	0.06	S	S	S	64.0	R	R		1.0	S	S	S	0.5	S	S	S	0.03	S	S	S	4.0	S	S		1024.0	R			64.0	R	R		32.0	R	R	R
16003091_S8_L001_R1_001	PRJEB22091	SAMEA104205957	ERX2148159	ERR2091365	ERA984054	Run_2017_8_8_12_24_2_run62	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091365/ERR2091365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091365/ERR2091365_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/005/ERR2091365																																																																
16003146_S9_L001_R1_001	PRJEB22091	SAMEA104205958	ERX2148160	ERR2091366	ERA984054	Run_2017_8_8_12_24_2_run63	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091366/ERR2091366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091366/ERR2091366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/006/ERR2091366																																																																
16004601_S10_L001_R1_001	PRJEB22091	SAMEA104205959	ERX2148161	ERR2091367	ERA984054	Run_2017_8_8_12_24_2_run64	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091367/ERR2091367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091367/ERR2091367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/007/ERR2091367																																																																
16004613_S11_L001_R1_001	PRJEB22091	SAMEA104205960	ERX2148162	ERR2091368	ERA984054	Run_2017_8_8_12_24_2_run65	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091368/ERR2091368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091368/ERR2091368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/008/ERR2091368																																																																
16004978_S12_L001_R1_001	PRJEB22091	SAMEA104205961	ERX2148163	ERR2091369	ERA984054	Run_2017_8_8_12_24_2_run66	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091369/ERR2091369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091369/ERR2091369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/009/ERR2091369																																																																
16004979_S13_L001_R1_001	PRJEB22091	SAMEA104205962	ERX2148164	ERR2091370	ERA984054	Run_2017_8_8_12_24_2_run67	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091370/ERR2091370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091370/ERR2091370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/000/ERR2091370																																																																
16005224_S14_L001_R1_001	PRJEB22091	SAMEA104205963	ERX2148165	ERR2091371	ERA984054	Run_2017_8_8_12_24_2_run68	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091371/ERR2091371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091371/ERR2091371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/001/ERR2091371																																																																
16009076_S15_L001_R1_001	PRJEB22091	SAMEA104205964	ERX2148166	ERR2091372	ERA984054	Run_2017_8_8_12_24_2_run69	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091372/ERR2091372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091372/ERR2091372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/002/ERR2091372																																																																
16009215_S16_L001_R1_001	PRJEB22091	SAMEA104205965	ERX2148167	ERR2091373	ERA984054	Run_2017_8_8_12_24_2_run70	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091373/ERR2091373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/003/ERR2091373/ERR2091373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/003/ERR2091373																																																																
16009246_S17_L001_R1_001	PRJEB22091	SAMEA104205966	ERX2148168	ERR2091374	ERA984054	Run_2017_8_8_12_24_2_run71	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091374/ERR2091374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/004/ERR2091374/ERR2091374_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/004/ERR2091374																																																																
16009280_S18_L001_R1_001	PRJEB22091	SAMEA104205967	ERX2148169	ERR2091375	ERA984054	Run_2017_8_8_12_24_2_run72	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091375/ERR2091375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/005/ERR2091375/ERR2091375_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/005/ERR2091375																																																																
16009361_S19_L001_R1_001	PRJEB22091	SAMEA104205968	ERX2148170	ERR2091376	ERA984054	Run_2017_8_8_12_24_2_run73	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091376/ERR2091376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/006/ERR2091376/ERR2091376_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/006/ERR2091376																																																																
16009362_S20_L001_R1_001	PRJEB22091	SAMEA104205969	ERX2148171	ERR2091377	ERA984054	Run_2017_8_8_12_24_2_run74	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091377/ERR2091377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091377/ERR2091377_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/007/ERR2091377																																																																
16009408_S21_L001_R1_001	PRJEB22091	SAMEA104205970	ERX2148172	ERR2091378	ERA984054	Run_2017_8_8_12_24_2_run75	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091378/ERR2091378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/008/ERR2091378/ERR2091378_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/008/ERR2091378																																																																
16009415_S22_L001_R1_001	PRJEB22091	SAMEA104205971	ERX2148173	ERR2091379	ERA984054	Run_2017_8_8_12_24_2_run76	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091379/ERR2091379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/009/ERR2091379/ERR2091379_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/009/ERR2091379																																																																
16009664_S23_L001_R1_001	PRJEB22091	SAMEA104205972	ERX2148174	ERR2091380	ERA984054	Run_2017_8_8_12_24_2_run77	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091380/ERR2091380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/000/ERR2091380/ERR2091380_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/000/ERR2091380																																																																
16009678_S24_L001_R1_001	PRJEB22091	SAMEA104205973	ERX2148175	ERR2091381	ERA984054	Run_2017_8_8_12_24_2_run78	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091381/ERR2091381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091381/ERR2091381_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/001/ERR2091381																																																																
16009908_S25_L001_R1_001	PRJEB22091	SAMEA104205974	ERX2148176	ERR2091382	ERA984054	Run_2017_8_8_12_24_2_run79	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091382/ERR2091382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/002/ERR2091382/ERR2091382_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/002/ERR2091382																																																																
